user_id,age,city,monthly_usage_gb,device_type,tenure_months,is_4g,segment
1000,56,Bandung,3.68,mid-range,44,0,C
1001,46,Medan,0.79,feature,15,0,B
1002,32,Makassar,6.38,low-end,35,1,C
1003,25,Jakarta,2.31,feature,48,0,C
1004,38,Surabaya,5.84,low-end,50,0,C
1005,56,Bandung,0.95,mid-range,41,0,C
1006,36,Makassar,4.23,feature,8,0,C
1007,40,Bandung,2.56,low-end,43,0,C
1008,28,Surabaya,0.15,low-end,35,1,B
1009,28,Makassar,1.56,mid-range,5,0,C
1010,41,Makassar,0.61,low-end,31,0,B
1011,53,Bandung,1.33,low-end,42,0,B
1012,57,Surabaya,1.45,mid-range,31,1,C
1013,41,Jakarta,1.93,low-end,37,1,B
1014,20,Makassar,2.75,low-end,8,0,C
1015,39,Jakarta,2.54,high-end,6,0,C
1016,19,Surabaya,0.12,feature,23,0,B
1017,41,Makassar,4.17,low-end,53,1,C
1018,47,Makassar,8.94,mid-range,16,0,C
1019,55,Jakarta,1.29,mid-range,44,0,C
1020,19,Medan,0.59,mid-range,49,0,C
1021,38,Jakarta,2.33,feature,8,0,C
1022,50,Jakarta,3.66,mid-range,4,0,C
1023,29,Medan,3.41,mid-range,32,0,A
1024,39,Surabaya,2.84,low-end,53,1,C
1025,42,Surabaya,0.47,low-end,49,0,B
1026,44,Makassar,5.44,mid-range,3,0,C
1027,59,Bandung,1.66,low-end,50,0,B
1028,45,Bandung,0.75,feature,16,0,B
1029,33,Makassar,0.27,low-end,34,0,B
1030,32,Bandung,1.62,feature,13,1,B
1031,20,Jakarta,2.89,low-end,33,0,C
1032,54,Jakarta,3.28,low-end,22,1,C
1033,24,Medan,9.87,low-end,31,0,C
1034,38,Medan,0.5,high-end,24,0,C
1035,26,Makassar,12.76,low-end,3,0,C
1036,56,Makassar,3.19,low-end,33,1,C
1037,35,Makassar,1.82,high-end,30,0,C
1038,21,Jakarta,6.57,mid-range,26,0,A
1039,42,Bandung,3.56,low-end,34,0,C
1040,31,Makassar,1.29,low-end,51,0,B
1041,26,Makassar,6.46,mid-range,22,0,A
1042,43,Jakarta,3.3,high-end,30,0,C
1043,19,Jakarta,3.6,feature,35,1,C
1044,37,Jakarta,6.8,low-end,25,0,C
1045,45,Bandung,1.78,mid-range,28,0,C
1046,24,Makassar,3.21,low-end,33,1,C
1047,25,Surabaya,4.1,mid-range,23,0,A
1048,52,Surabaya,1.82,mid-range,26,0,C
1049,31,Makassar,0.26,low-end,56,1,B
1050,34,Makassar,4.43,low-end,9,0,C
1051,53,Makassar,0.15,mid-range,8,0,C
1052,57,Makassar,3.8,mid-range,37,0,C
1053,21,Bandung,7.25,mid-range,33,0,A
1054,19,Surabaya,1.28,mid-range,15,0,C
1055,23,Medan,0.32,feature,49,0,B
1056,59,Surabaya,0.8,mid-range,47,0,C
1057,21,Surabaya,2.48,low-end,8,0,C
1058,46,Jakarta,8.58,mid-range,55,1,C
1059,35,Makassar,2.15,low-end,21,0,C
1060,43,Makassar,0.36,mid-range,58,1,C
1061,51,Makassar,2.96,mid-range,3,0,C
1062,27,Jakarta,3.96,mid-range,9,0,A
1063,53,Bandung,1.5,mid-range,52,0,C
1064,31,Bandung,3.84,low-end,14,0,C
1065,48,Medan,1.18,low-end,38,0,B
1066,32,Bandung,4.67,low-end,27,1,C
1067,25,Bandung,1.25,high-end,20,0,C
1068,31,Makassar,0.89,feature,57,0,B
1069,40,Surabaya,6.34,low-end,4,0,C
1070,57,Bandung,2.39,high-end,24,0,C
